Fördernehmer_in,eindeutige Nummer des Digitalisats,Analogfilm,3D,Sonstige,Ressourcenadresse,Titel des Digitalisats,Kommentar (optional),Kontextadresse,Kommentar (optional)
Franziskanerkloster Graz,A-Gf_A63_51-023r_M,,,,https://hdl.handle.net/21.11115/0000-0012-23D8-1@format=tif,A-Gf_A63_51-023r (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-023r.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-023r.tif,
Franziskanerkloster Graz,A-Gf_A63_51-023v_M,,,,https://hdl.handle.net/21.11115/0000-0012-23D9-0@format=tif,A-Gf_A63_51-023v (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-023v.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-023v.tif,
Franziskanerkloster Graz,A-Gf_A63_51-024r_M,,,,https://hdl.handle.net/21.11115/0000-0012-23DA-F@format=tif,A-Gf_A63_51-024r (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-024r.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-024r.tif,
Franziskanerkloster Graz,A-Gf_A63_51-024v_M,,,,https://hdl.handle.net/21.11115/0000-0012-23DB-E@format=tif,A-Gf_A63_51-024v (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-024v.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-024v.tif,
Franziskanerkloster Graz,A-Gf_A63_51-025r_M,,,,https://hdl.handle.net/21.11115/0000-0012-23DC-D@format=tif,A-Gf_A63_51-025r (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-025r.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-025r.tif,
Franziskanerkloster Graz,A-Gf_A63_51-025v_M,,,,https://hdl.handle.net/21.11115/0000-0012-23DD-C@format=tif,A-Gf_A63_51-025v (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-025v.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-025v.tif,
Franziskanerkloster Graz,A-Gf_A63_51-026r_M,,,,https://hdl.handle.net/21.11115/0000-0012-23DE-B@format=tif,A-Gf_A63_51-026r (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-026r.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-026r.tif,
Franziskanerkloster Graz,A-Gf_A63_51-026v_M,,,,https://hdl.handle.net/21.11115/0000-0012-23DF-A@format=tif,A-Gf_A63_51-026v (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-026v.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-026v.tif,
Franziskanerkloster Graz,A-Gf_A63_51-027r_M,,,,https://hdl.handle.net/21.11115/0000-0012-23E0-7@format=tif,A-Gf_A63_51-027r (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-027r.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-027r.tif,
Franziskanerkloster Graz,A-Gf_A63_51-027v_M,,,,https://hdl.handle.net/21.11115/0000-0012-23E1-6@format=tif,A-Gf_A63_51-027v (Master),https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-027v.tif,https://id.acdh.oeaw.ac.at/ofmgraz/masters/A63_51/A-Gf_A63_51-027v.tif,
